"id","qType","subject","topic","classLevel","difficulty","question","a","b","c","d","ans","explanation"
"1","multiple_choice","math","Ôn luyện","4","1","Số lớn nhất trong các số: 21 897; 12 789; 19 182; 28 911 là:","21 897","12 789","19 182","28 911","d","So sánh các chữ số từ trái sang phải, số 28 911 lớn nhất."
"2","multiple_choice","math","Ôn luyện","4","1","Số nào dưới đây có chữ số 6 ở hàng trăm?","26 734","72 643","63 247","73 462","b","Số 72 643 có chữ số 6 ở hàng trăm (đứng thứ 3 từ phải sang)."
"3","multiple_choice","math","Ôn luyện","4","1","Số 37 492 làm tròn đến hàng nghìn ta được số:","30 000","37 000","37 500","38 000","b","Làm tròn đến hàng nghìn, xét hàng trăm là 4 < 5 nên giữ nguyên hàng nghìn."
"4","true_false","math","Ôn luyện","4","1","Số liền sau của 9 999 là 10 000","Đúng","Sai","","","a","Số liền sau của 9999 là 9999 + 1 = 10000."
"5","true_false","math","Ôn luyện","4","1","25 300; 25 400; 25 500 là ba số tự nhiên liên tiếp","Đúng","Sai","","","b","Đây là ba số tròn trăm liên tiếp, không phải số tự nhiên liên tiếp."
"6","fill_blank","math","Ôn luyện","4","2","Viết số thích hợp vào chỗ trống: 6 000 + ... + 30 + 1 = 6 731","700","","","","700","6731 = 6000 + 700 + 30 + 1, nên số cần điền là 700."
"7","sequence","math","Ôn luyện","4","2","Điền số vào sơ đồ sau:","12 346|x 5|?","","","","61730","12 346 x 5 = 61 730"
"8","fill_blank","math","Ôn luyện","4","2","Bản của bạn Nương trồng được 8 070 cây bạch đàn. Số cây keo gấp 6 lần số cây bạch đàn. Hỏi bản trồng tất cả bao nhiêu cây?","56490","","","","56490","Keo = 8070 x 6 = 48420. Tất cả = 8070 + 48420 = 56490."
"9","multiple_choice","math","Ôn luyện","4","2","Từ 20 đến 41 có tất cả bao nhiêu số chẵn?","10 số","11 số","20 số","21 số","b","Các số chẵn là 20, 22, ..., 40. Số lượng: (40 - 20) / 2 + 1 = 11 số."
"10","fill_blank","math","Ôn luyện","4","2","Tính chu vi P của hình chữ nhật có chiều dài 15m, chiều rộng 9m:","48","","","","48","Chu vi = (15 + 9) x 2 = 48 (m)"
"11","fill_blank","math","Ôn luyện","4","3","Cho biết: a = 1263 m, b = 2379 m. Tính độ dài đường gấp khúc ABCD. [IMG: tam_giac.png]","3642","","","","3642","Độ dài đường gấp khúc ABCD = đoạn a + đoạn b = 1263 + 2379 = 3642 (m)"
"12","multiple_choice","math","Ôn luyện","4","3","Đồng hồ góc trên cùng bên trái (9h) tạo thành góc gì? [IMG: dong_ho.png]","Góc nhọn","Góc vuông","Góc tù","Góc bẹt","b","Kim giờ ở số 9, kim phút ở số 12 tạo thành góc vuông (90 độ)."
"13","multiple_choice","math","Ôn luyện","4","3","Theo em, chiếc máy giặt có giá tiền khoảng bao nhiêu? [IMG: do_vat.png]","Một triệu bốn trăm nghìn","Mười bốn triệu đồng","Sáu triệu bốn trăm nghìn","Bốn trăm triệu đồng","c","Xe máy cao tiền nhất (14 triệu), xe đạp rẻ nhất (1.4 triệu). Máy giặt nằm ở mức vừa (6.4 triệu)."
