Cấp lớp,Môn học,Học kỳ,Chủ đề,Loại câu hỏi,Câu hỏi,Lựa chọn,Đáp án đúng,Lời giải chi tiết
Lớp 1,Tiếng Việt,Học kỳ 2,5. Bài học từ cuộc sống,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong ngôi trường luôn ghét bỏ nhau.', đúng hay sai?",,Sai,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,8. Đất nước và con người,Điền khuyết,Điền từ còn thiếu vào câu tục ngữ: Tôn sư trọng ___,,đạo,Câu hoàn chỉnh: Tôn sư trọng đạo
Lớp 1,Tiếng Việt,Học kỳ 2,3. Mái trường mến yêu,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong bạn bè luôn ghét bỏ nhau.', đúng hay sai?",,Sai,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,5. Bài học từ cuộc sống,Trắc nghiệm,Từ nào sau đây viết đúng chính tả?,sách vở | xách vở | sách vở | sách vở x,sách vở,'sách vở' là cách viết đúng chính tả.
Lớp 1,Tiếng Việt,Học kỳ 2,2. Mái ấm gia đình,Điền khuyết,Điền từ thích hợp: Mỗi ngày đến trường là một ngày ___.,,vui,Thành ngữ quen thuộc về mái trường.
Lớp 1,Tiếng Việt,Học kỳ 2,1. Tôi và các bạn,Điền khuyết,Điền từ thích hợp: Mỗi ngày đến trường là một ngày ___.,,vui,Thành ngữ quen thuộc về mái trường.
Lớp 1,Tiếng Việt,Học kỳ 2,8. Đất nước và con người,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong đất nước luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,7. Thế giới trong mắt em,Kéo thả,Kéo thả để ghép đúng câu: Uống nước ___.,nhớ nguồn | thì sẽ thất bại | không cần ai,nhớ nguồn,Câu hoàn chỉnh: Uống nước nhớ nguồn
Lớp 1,Tiếng Việt,Học kỳ 2,7. Thế giới trong mắt em,Trắc nghiệm,Từ nào sau đây viết đúng chính tả?,rực rỡ | rực rỡ | dực dỡ | rực rỡ x,rực rỡ,'rực rỡ' là cách viết đúng chính tả.
Lớp 1,Tiếng Việt,Học kỳ 2,5. Bài học từ cuộc sống,Trắc nghiệm,Từ nào sau đây viết đúng chính tả?,bạn bè | bạn bè | bạn bè | bạn bè x,bạn bè,'bạn bè' là cách viết đúng chính tả.
Lớp 1,Tiếng Việt,Học kỳ 2,2. Mái ấm gia đình,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong chăm sóc luôn ghét bỏ nhau.', đúng hay sai?",,Sai,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,3. Mái trường mến yêu,Điền khuyết,Điền từ còn thiếu vào câu tục ngữ: Có công mài sắt có ngày nên ___,,kim,Câu hoàn chỉnh: Có công mài sắt có ngày nên kim
Lớp 1,Tiếng Việt,Học kỳ 2,2. Mái ấm gia đình,Kéo thả,"Kéo thả để ghép đúng câu: Gần mực thì đen, ___.",gần đèn thì rạng | thì sẽ thất bại | không cần ai,gần đèn thì rạng,"Câu hoàn chỉnh: Gần mực thì đen, gần đèn thì rạng"
Lớp 1,Tiếng Việt,Học kỳ 2,4. Điều em cần biết,Điền khuyết,Điền từ thích hợp: Mỗi ngày đến trường là một ngày ___.,,vui,Thành ngữ quen thuộc về mái trường.
Lớp 1,Tiếng Việt,Học kỳ 2,5. Bài học từ cuộc sống,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong sân chơi luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 1,Tiếng Việt,Học kỳ 2,5. Bài học từ cuộc sống,Điền khuyết,Điền từ còn thiếu vào câu tục ngữ: Uống nước nhớ ___,,nguồn,Câu hoàn chỉnh: Uống nước nhớ nguồn
Lớp 1,Tiếng Việt,Học kỳ 2,5. Bài học từ cuộc sống,Điền khuyết,Điền từ còn thiếu vào câu tục ngữ: Uống nước nhớ ___,,nguồn,Câu hoàn chỉnh: Uống nước nhớ nguồn
