Tên Đề Thi,Cấp Lớp,Mốc Thời Gian,Loại Câu Hỏi,Nội dung câu hỏi,Đáp án 1,Đáp án 2,Đáp án 3,Đáp án 4,Đáp án đúng
Đề thi Toán Lớp 5 - MID1 - Đề 1,5,mid1,multiple_choice,Số thập phân gồm 74 đơn vị và 9 phần mười viết là:,9.74,74.09,749,74.9,74.9
Đề thi Toán Lớp 5 - MID1 - Đề 1,5,mid1,multiple_choice,Số thập phân gồm 85 đơn vị và 8 phần mười viết là:,858,8.85,85.8,85.08,85.8
Đề thi Toán Lớp 5 - MID1 - Đề 1,5,mid1,multiple_choice,Chữ số 8 trong số thập phân 45.86 có giá trị là bao nhiêu?,8/1000,8/100,8,8/10,8/10
Đề thi Toán Lớp 5 - MID1 - Đề 1,5,mid1,multiple_choice,Chữ số 7 trong số thập phân 45.76 có giá trị là bao nhiêu?,7/10,7/1000,7/100,7,7/10
Đề thi Toán Lớp 5 - MID1 - Đề 1,5,mid1,fill_blank,Điền số thích hợp: 6 ha = ... m²,60000,6000,600,60,60000
Đề thi Toán Lớp 5 - MID1 - Đề 1,5,mid1,fill_blank,Điền số thích hợp: 3 ha = ... m²,30000,3000,300,30,30000
Đề thi Toán Lớp 5 - MID1 - Đề 1,5,mid1,comparison,So sánh hai số thập phân: 13.6 ... 13.60,>,<,=,,=
Đề thi Toán Lớp 5 - MID1 - Đề 1,5,mid1,comparison,So sánh hai số thập phân: 64.2 ... 64.20,>,<,=,,=
Đề thi Toán Lớp 5 - MID1 - Đề 1,5,mid1,true_false,Đúng hay sai: Phân số 1/2 viết dưới dạng số thập phân là 0.5,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - MID1 - Đề 1,5,mid1,true_false,Đúng hay sai: Phân số 1/2 viết dưới dạng số thập phân là 0.5,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 5 - MID1 - Đề 2,5,mid1,multiple_choice,Số thập phân gồm 82 đơn vị và 8 phần mười viết là:,82.08,828,8.82,82.8,82.8
Đề thi Toán Lớp 5 - MID1 - Đề 2,5,mid1,multiple_choice,Số thập phân gồm 76 đơn vị và 2 phần mười viết là:,2.76,76.2,76.02,762,76.2
Đề thi Toán Lớp 5 - MID1 - Đề 2,5,mid1,multiple_choice,Chữ số 8 trong số thập phân 45.86 có giá trị là bao nhiêu?,8/10,8/100,8,8/1000,8/10
